,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 88.3)","(89.1, 133.9)","(134.7, 234.7)","(235.5, 508.3)","(509.1, 620.3)","(621.1, 710.7)","(711.5, 769.9)","(770.7, 877.1)","(877.9, 938.7)"
"Time length, sec",78.39999999999999,44.80000000000001,100.0,272.8,111.19999999999993,89.60000000000002,58.39999999999998,106.39999999999998,60.80000000000007
Number of epochs,91,51,108,306,126,106,67,121,70
