St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1593 2017]
40,50,20,Mode,40,[   0  357 2017]
40,50,20,Median,40,[   0  394  997 1595 2017]
40,50,20,Mode,40,[   0  357 1010 1704 2017]
40,50,20,Median,40,[   0  500  997 1595 2017]
40,50,20,Mode,40,[   0  357 1010 1704 2017]
40,50,20,Median,40,[   0  500  997 1416 2017]
40,50,20,Mode,40,[   0  357 1010 1416 2017]
40,50,20,Median,40,[   0  500  997 1416 1595 1704 2017]
40,50,20,Mode,40,[   0  357 1010 1416 1595 1704 2017]
40,50,20,Median,40,[   0  357  543  997 1595 1704 2017]
40,50,20,Mode,40,[   0  357  548 1010 1416 1595 1704 2017]
40,50,20,Median,40,[   0  357  543  828 1595 1704 2017]
40,50,20,Mode,40,[   0  357  548  828 1595 1704 2017]
40,50,20,Median,40,[   0  357  543 1010 1416 1595 1704 2017]
40,50,20,Mode,40,[   0  357  548  828 1595 1704 2017]
40,50,20,Median,40,[   0  175  357  543  828 1595 1704 2017]
40,50,20,Mode,40,[   0  357  548  828 1595 1704 2017]
